Index,CrashID,Gender,Ages,County,Date,Day,Month,Time,PM/AM,Injured,Deaths,Latitude,Longitude,Weather,SpeedLimit,Cause,
1,903231859,M,['35-44Years' '45-54Years'],97,9/22/2018,SATURDAY,SEP,6:13,AM,0,1,39.635344,-86.126688,1,45,FAILURETOYIELDRIGHTOFWAY,
2,903227017,F,['65-74Years' '35-44Years'],97,9/14/2018,FRIDAY,SEP,12:53,PM,0,1,39.698496,-86.265184,1,45,FAILURETOYIELDRIGHTOFWAY,
3,903250987,F,['55-64Years' '15-24Years'],97,10/26/2018,FRIDAY,OCT,1:17,AM,0,1,39.754208,-86.101664,2,35,DISREGARDSIGNAL/REGSIGN,
4,903175662,M,['55-64Years' '35-44Years'],97,6/22/2018,FRIDAY,JUN,4:55,AM,1,1,39.70336,-86.082288,1,40,RANOFFROAD,
5,903234837,F,['25-34Years' '25-34Years'],97,10/4/2018,THURSDAY,OCT,9:41,PM,2,1,39.769264,-86.09728,1,35,FAILURETOYIELDRIGHTOFWAY,
6,903246498,M,['55-64Years' '45-54Years' '15-24Years'],97,10/18/2018,THURSDAY,OCT,12:39,AM,1,1,39.781648,-86.057376,1,30,FAILURETOYIELDRIGHTOFWAY,
7,903123446,F,['>=85Years' '55-64Years' '35-44Years'],97,3/24/2018,SATURDAY,MAR,12:45,PM,1,2,39.791824,-86.250768,4,40,DISREGARDSIGNAL/REGSIGN,
8,903202569,M,['55-64Years'  45-54Years' '35-44Years' '45-54Years' '55-64Years' '25-34Years'],97,7/27/2018,FRIDAY,JUL,5:27,PM,2,1,39.781456,-86.0832,1,35,IMPROPERPASSING,
9,903107382,F,['45-54Years'  25-34Years' '65-74Years' '55-64Years' '75-84Years' '>=85Years'],97,2/24/2018,SATURDAY,FEB,6:04,PM,1,1,39.912445,-86.15787,2,40,LEFTOFCENTER,
10,903228780,F,['25-34Years' '15-24Years'],97,9/19/2018,WEDNESDAY,SEP,12:30,AM,0,2,39.84148,-85.97225,1,50,UNSAFESPEED,
11,903207078,M,['55-64Years' '25-34Years'],97,8/18/2018,SATURDAY,AUG,2:14,PM,0,1,39.89672,-86.24098,1,40,UNSAFELANEMOVEMENT,
12,903285364,F,['15-24Years' '15-24Years'],57,12/21/2018,FRIDAY,DEC,10:39,PM,1,1,40.12798,-85.96312,2,50,RANOFFROAD,
13,903133221,M,['65-74Years' '35-44Years'],97,4/14/2018,SATURDAY,APR,6:12,PM,0,1,39.718048,-86.147808,2,40,FAILURETOYIELDRIGHTOFWAY,
14,903077272,F,['65-74Years' '45-54Years' '45-54Years' '35-44Years' '55-64Years'],97,1/3/2018,WEDNESDAY,JAN,2:43,PM,2,1,39.888752,-86.211584,4,35,LEFTOFCENTER,
15,903226709,M,['65-74Years' '25-34Years'],97,5/28/2018,MONDAY,MAY,8:48,AM,0,1,39.77167186,-86.04950236,1,40,UNSAFESPEED,
16,903108522,M,['5-14Years'  15-24Years' '55-64Years'],97,2/25/2018,SUNDAY,FEB,3:02,PM,1,2,39.73410153,-86.31009508,1,45,LEFTOFCENTER,
17,903141850,M,['25-34Years' '35-44Years' '35-44Years' '45-54Years'],97,3/9/2018,FRIDAY,MAR,4:12,PM,0,1,39.89007314,-86.206195,1,40,IMPROPERLANEUSAGE,
18,903211257,M,['25-34Years' '15-24Years' '15-24Years'],97,8/28/2018,TUESDAY,AUG,1:25,PM,1,1,39.81141453,-85.99554235,1,40,OVERCORRECTING/OVERSTEERING,
19,903179537,M,['15-24Years' '25-34Years' '15-24Years'],97,5/26/2018,SATURDAY,MAY,11:34,PM,2,2,39.71361861,-86.14871757,1,40,FAILURETOYIELDRIGHTOFWAY,
20,903253683,F,['35-44Years' '35-44Years' '35-44Years' '15-24Years'],97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,OVERCORRECTING/OVERSTEERING,
21,903167163,M,['35-44Years' '15-24Years'],97,5/30/2018,WEDNESDAY,MAY,11:55,AM,0,1,39.7911226,-86.11648339,2,35,IMPROPERTURNING,
22,903202997,M,['45-54Years' '55-64Years'],97,8/10/2018,FRIDAY,AUG,4:05,PM,0,1,39.90456068,-86.04605278,1,55,DRIVERILLNESS,
23,903257655,M,['55-64Years' '45-54Years'],97,11/10/2018,SATURDAY,NOV,11:30,PM,1,1,39.80801149,-86.27525981,1,55,FOLLOWINGTOOCLOSELY,
24,903284578,M,['35-44Years' '25-34Years'],57,12/20/2018,THURSDAY,DEC,10:15,PM,0,1,39.94748896,-86.0145504,3,65,IMPROPERLANEUSAGE,
25,903189132,M,['25-34Years' '25-34Years' '15-24Years' '25-34Years'],97,7/21/2018,SATURDAY,JUL,11:34,PM,3,1,39.91721272,-86.0367104,1,55,UNSAFESPEED,
26,903264221,M,['35-44Years' '45-54Years'],97,11/19/2018,MONDAY,NOV,11:27,PM,0,1,39.80415707,-86.27517857,1,55,FOLLOWINGTOOCLOSELY,
27,903153959,F,['45-54Years' '65-74Years'],97,5/11/2018,FRIDAY,MAY,4:05,PM,0,1,39.70006366,-86.17047085,1,55,FOLLOWINGTOOCLOSELY,
28,903146310,M,['55-64Years' '65-74Years'],97,5/4/2018,FRIDAY,MAY,9:45,AM,0,1,39.700225,-86.25870979,1,55,UNSAFESPEED,
29,903076499,M,['45-54Years' '15-24Years'],57,1/4/2018,THURSDAY,JAN,5:40,AM,0,1,39.93028752,-86.1495996,2,55,WRONGWAYONONEWAY,
30,903195461,F,['45-54Years' '65-74Years'],97,7/11/2018,WEDNESDAY,JUL,5:20,AM,1,1,39.70608972,-86.28623247,1,55,UNSAFELANEMOVEMENT,
31,903246626,M,['25-34Years' '25-34Years'],97,10/24/2018,WEDNESDAY,OCT,1:37,PM,1,1,39.74995432,-86.23226485,1,50,UNSAFELANEMOVEMENT,
32,903149183,M,['25-34Years' '35-44Years'],97,5/12/2018,SATURDAY,MAY,5:57,AM,0,1,39.7025643,-86.1136213,1,55,ANIMAL/OBJECTINROADWAY,
33,903135487,F,['5-14Years' '55-64Years' '45-54Years' '25-34Years'],57,4/19/2018,THURSDAY,APR,9:07,AM,2,2,40.041824,-86.22167472,2,45,LEFTOFCENTER,
34,903239038,M,['35-44Years' '55-64Years' '45-54Years'],57,10/14/2018,SUNDAY,OCT,10:20,PM,1,2,40.0416869,-86.23577799,1,55,IMPROPERTURNING,
35,903077274,F,['25-34Years' '25-34Years' '25-34Years'],97,1/7/2018,SUNDAY,JAN,4:10,AM,1,1,39.77944,-86.270288,2,35,UNSAFESPEED,
36,903123453,F,['15-24Years' '15-24Years' '25-34Years'],97,3/22/2018,THURSDAY,MAR,6:58,AM,2,1,39.845136,-86.12192,1,40,OVERCORRECTING/OVERSTEERING,
37,903230338,M,['45-54Years' '55-64Years'],97,9/21/2018,FRIDAY,SEP,10:56,AM,1,1,39.68182676,-86.13272316,1,35,LEFTOFCENTER,
38,903299719,M,['35-44Years' '35-44Years'],97,12/22/2018,SATURDAY,DEC,9:28,PM,1,1,39.8989695,-86.12678988,1,30,RANOFFROAD,
39,903141430,M,['45-54Years' '45-54Years'],97,4/27/2018,FRIDAY,APR,9:50,PM,0,1,39.6866168,-86.2797711,1,55,FOLLOWINGTOOCLOSELY,
40,903278171,F,['65-74Years' '45-54Years'],97,12/4/2018,TUESDAY,DEC,12:30,PM,1,1,39.736768,-86.196208,1,45,DISREGARDSIGNAL/REGSIGN,
41,903218355,F,['25-34Years' '25-34Years' '35-44Years'],97,9/9/2018,SUNDAY,SEP,11:39,PM,2,1,39.6142395,-86.10222,3,40,UNSAFESPEED,
42,903286119,M,['65-74Years' '15-24Years' '65-74Years' '15-24Years'],97,12/9/2018,SUNDAY,DEC,5:01,PM,3,1,39.853136,-86.239696,1,40,OVERCORRECTING/OVERSTEERING,
43,903184016,F,['65-74Years' '45-54Years'],97,7/3/2018,TUESDAY,JUL,2:34,PM,0,1,39.764608,-86.260096,1,35,FOLLOWINGTOOCLOSELY,
44,903235674,M,['25-34Years' '25-34Years' '25-34Years'],97,9/29/2018,SATURDAY,SEP,6:52,PM,2,1,39.83995745,-86.09790603,1,45,LEFTOFCENTER,
