Index,CrashID,Role,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
1,903250987,Driver,F,55-64Years,97,10/26/2018,FRIDAY,OCT,1:17,AM,0,1,39.754208,-86.101664,2,35,Multi-LaneDivided3ormore(TwoWay),SHERMANDRSOUTHEASTERNAVE,Fatal,DISREGARDSIGNAL/REGSIGN
2,903175662,Driver,M,55-64Years,97,6/22/2018,FRIDAY,JUN,4:55,AM,1,1,39.70336,-86.082288,1,40,Multi-LaneDivided3ormore(TwoWay),EMERSONAVEI465E,Fatal,RANOFFROAD
3,903246498,Driver,M,55-64Years,97,10/18/2018,THURSDAY,OCT,12:39,AM,1,1,39.781648,-86.057376,1,30,TwoLanes(TwoWay),10THSTRIDGEVIEWDR,Fatal,FAILURETOYIELDRIGHTOFWAY
4,903123446,Injured,F,>=85Years,97,3/24/2018,SATURDAY,MAR,12:45,PM,1,2,39.791824,-86.250768,4,40,Multi-LaneUndivided(TwoWay),CRAWFORDSVILLERDLYNHURSTDR,Fatal,DISREGARDSIGNAL/REGSIGN
5,903123446,Driver,F,55-64Years,97,3/24/2018,SATURDAY,MAR,12:45,PM,1,2,39.791824,-86.250768,4,40,Multi-LaneUndivided(TwoWay),CRAWFORDSVILLERDLYNHURSTDR,Fatal,DISREGARDSIGNAL/REGSIGN
6,903228780,Injured,F,25-34Years,97,9/19/2018,WEDNESDAY,SEP,12:30,AM,0,2,39.84148,-85.97225,1,50,TwoLanes(TwoWay),46THSTGERMANCHURCHRD,Fatal,UNSAFESPEED
7,903077272,Driver,M,45-54Years,97,1/3/2018,WEDNESDAY,JAN,2:43,PM,2,1,39.888752,-86.211584,4,35,nan,71STSTMICHIGANRD,Fatal,LEFTOFCENTER
8,903108522,Injured,M,5-14Years,97,2/25/2018,SUNDAY,FEB,3:02,PM,1,2,39.73410153,-86.31009508,1,45,Multi-LaneUndivided(TwoWay),DANBURYDRWASHINGTONST,Fatal,LEFTOFCENTER
9,903108522,Driver,F,15-24Years,97,2/25/2018,SUNDAY,FEB,3:02,PM,1,2,39.73410153,-86.31009508,1,45,Multi-LaneUndivided(TwoWay),DANBURYDRWASHINGTONST,Fatal,LEFTOFCENTER
10,903211257,Injured,M,15-24Years,97,8/28/2018,TUESDAY,AUG,1:25,PM,1,1,39.81141453,-85.99554235,1,40,TwoLanes(TwoWay),30THSTGUINEVEREDR,Fatal,OVERCORRECTING/OVERSTEERING
11,903179537,Driver,M,15-24Years,97,5/26/2018,SATURDAY,MAY,11:34,PM,2,2,39.71361861,-86.14871757,1,40,Multi-LaneUndivided2-wayleft(TwoWay),EASTSTNORTONAVE,Fatal,FAILURETOYIELDRIGHTOFWAY
12,903253683,Injured,F,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,TwoLanes(TwoWay),BOYSCOUTRDFALLCREEKRD,Fatal,OVERCORRECTING/OVERSTEERING
13,903253683,Injured,F,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,TwoLanes(TwoWay),BOYSCOUTRDFALLCREEKRD,Fatal,OVERCORRECTING/OVERSTEERING
14,903253683,Driver,M,35-44Years,97,10/26/2018,FRIDAY,OCT,11:03,AM,0,3,39.95101888,-86.03313999,3,30,TwoLanes(TwoWay),BOYSCOUTRDFALLCREEKRD,Fatal,OVERCORRECTING/OVERSTEERING
15,903257655,Driver,M,55-64Years,97,11/10/2018,SATURDAY,NOV,11:30,PM,1,1,39.80801149,-86.27525981,1,55,nan,I465S16.0,Fatal,FOLLOWINGTOOCLOSELY
16,903284578,Driver,M,35-44Years,57,12/20/2018,THURSDAY,DEC,10:15,PM,0,1,39.94748896,-86.0145504,3,65,nan,I69S204.2,Fatal,IMPROPERLANEUSAGE
17,903189132,Injured,M,25-34Years,97,7/21/2018,SATURDAY,JUL,11:34,PM,3,1,39.91721272,-86.0367104,1,55,nan,I69S201.8,Fatal,UNSAFESPEED
18,903195461,Injured,F,45-54Years,97,7/11/2018,WEDNESDAY,JUL,5:20,AM,1,1,39.70608972,-86.28623247,1,55,nan,I70W71.6,Fatal,UNSAFELANEMOVEMENT
19,903149183,Driver,M,25-34Years,97,5/12/2018,SATURDAY,MAY,5:57,AM,0,1,39.7025643,-86.1136213,1,55,nan,I465W0.3,Fatal,ANIMAL/OBJECTINROADWAY
20,903135487,Driver,M,55-64Years,57,4/19/2018,THURSDAY,APR,9:07,AM,2,2,40.041824,-86.22167472,2,45,TwoLanes(TwoWay),MULEBARNRDSR32W,Fatal,LEFTOFCENTER
21,903135487,Injured,F,45-54Years,57,4/19/2018,THURSDAY,APR,9:07,AM,2,2,40.041824,-86.22167472,2,45,TwoLanes(TwoWay),MULEBARNRDSR32W,Fatal,LEFTOFCENTER
22,903239038,Driver,M,35-44Years,57,10/14/2018,SUNDAY,OCT,10:20,PM,1,2,40.0416869,-86.23577799,1,55,TwoLanes(TwoWay),HAMILTONBOONECOUNTYLINERDSR32W,Fatal,IMPROPERTURNING
23,903239038,Injured,M,55-64Years,57,10/14/2018,SUNDAY,OCT,10:20,PM,1,2,40.0416869,-86.23577799,1,55,TwoLanes(TwoWay),HAMILTONBOONECOUNTYLINERDSR32W,Fatal,IMPROPERTURNING
24,903077274,Injured,F,25-34Years,97,1/7/2018,SUNDAY,JAN,4:10,AM,1,1,39.77944,-86.270288,2,35,nan,10THSTI465S,Fatal,UNSAFESPEED
25,903107382,Injured,F,75-84Years,97,2/24/2018,SATURDAY,FEB,6:04,PM,1,1,39.912445,-86.15787,2,40,Multi-LaneDivided3ormore(TwoWay),86THSTMERIDIANST,Fatal,LEFTOFCENTER
26,903123453,Injured,F,15-24Years,97,3/22/2018,THURSDAY,MAR,6:58,AM,2,1,39.845136,-86.12192,1,40,Multi-LaneDivided3ormore(TwoWay),51STSTKEYSTONEAVE,Fatal,OVERCORRECTING/OVERSTEERING
27,903299719,Injured,M,35-44Years,97,12/22/2018,SATURDAY,DEC,9:28,PM,1,1,39.8989695,-86.12678988,1,30,TwoLanes(TwoWay),78THSTLINCOLNBLVD,Fatal,RANOFFROAD
28,903141850,Driver,M,35-44Years,97,3/9/2018,FRIDAY,MAR,4:12,PM,0,1,39.89007314,-86.206195,1,40,Multi-LaneUndivided(TwoWay),KENTUCKYAVEWARMANAVE,Fatal,IMPROPERLANEUSAGE
29,903141430,Driver,M,45-54Years,97,4/27/2018,FRIDAY,APR,9:50,PM,0,1,39.6866168,-86.2797711,1,55,Multi-LaneDivided3ormore(TwoWay),KENTUCKYAVESTIRLINGPOINTEDR,Fatal,FOLLOWINGTOOCLOSELY
