Date,Deaths
01/17/2015,2
01/19/2015,1
01/25/2015,1
02/06/2015,1
02/10/2015,1
03/07/2015,1
03/28/2015,1
04/17/2015,1
04/19/2015,1
04/21/2015,2
04/22/2015,1
04/26/2015,1
04/30/2015,1
05/06/2015,1
05/10/2015,2
05/11/2015,1
05/14/2015,1
05/22/2015,1
05/26/2015,1
05/28/2015,1
06/01/2015,1
06/08/2015,1
06/16/2015,1
06/19/2015,1
06/20/2015,1
06/26/2015,2
06/27/2015,2
07/01/2015,1
07/10/2015,1
07/11/2015,1
07/12/2015,1
07/26/2015,1
07/30/2015,1
08/01/2015,1
08/02/2015,2
08/19/2015,1
09/26/2015,1
10/02/2015,2
10/03/2015,1
10/06/2015,8
10/09/2015,1
10/19/2015,1
10/21/2015,1
11/24/2015,1
12/01/2015,1
12/05/2015,1
12/06/2015,1
12/09/2015,1
12/11/2015,1
12/19/2015,1
12/23/2015,3
12/24/2015,1
12/25/2015,3
12/27/2015,1
01/01/2016,1
01/18/2016,1
01/23/2016,1
01/31/2016,1
02/03/2016,1
02/23/2016,1
02/26/2016,1
03/04/2016,1
03/05/2016,1
03/08/2016,2
03/11/2016,1
03/16/2016,1
03/17/2016,1
03/19/2016,1
03/21/2016,3
03/22/2016,1
03/25/2016,1
03/26/2016,2
03/27/2016,1
03/30/2016,2
03/31/2016,1
04/07/2016,1
04/15/2016,2
04/18/2016,1
04/23/2016,1
04/30/2016,1
05/04/2016,1
05/07/2016,1
05/10/2016,1
05/19/2016,1
06/10/2016,1
06/22/2016,1
06/25/2016,1
07/03/2016,1
07/25/2016,1
08/04/2016,1
08/09/2016,1
08/24/2016,1
09/01/2016,1
09/03/2016,1
09/06/2016,1
09/08/2016,1
09/19/2016,1
09/25/2016,2
09/30/2016,3
10/12/2016,1
10/17/2016,1
10/19/2016,1
10/22/2016,1
10/31/2016,1
11/02/2016,1
11/03/2016,4
11/06/2016,2
11/10/2016,1
11/12/2016,2
11/14/2016,5
11/18/2016,1
11/24/2016,1
12/11/2016,1
12/16/2016,2
12/23/2016,1
01/04/2017,1
01/05/2017,1
01/07/2017,1
01/08/2017,1
01/20/2017,1
01/22/2017,1
02/02/2017,1
02/11/2017,1
02/13/2017,1
03/03/2017,1
03/06/2017,1
03/07/2017,1
03/09/2017,1
03/13/2017,1
03/17/2017,1
03/24/2017,1
03/30/2017,1
04/01/2017,1
04/07/2017,1
04/15/2017,1
04/18/2017,3
04/22/2017,1
04/28/2017,1
05/13/2017,1
05/21/2017,1
05/30/2017,1
05/31/2017,1
06/01/2017,1
06/07/2017,1
06/14/2017,2
06/19/2017,1
06/21/2017,1
06/23/2017,1
06/24/2017,1
07/01/2017,1
07/04/2017,1
07/08/2017,1
07/18/2017,1
07/26/2017,1
07/27/2017,2
07/31/2017,2
08/05/2017,1
08/07/2017,1
08/09/2017,1
09/01/2017,1
09/09/2017,1
09/16/2017,1
09/28/2017,1
09/30/2017,1
10/01/2017,2
10/04/2017,1
10/07/2017,2
10/16/2017,1
10/27/2017,1
11/24/2017,1
11/30/2017,2
12/09/2017,1
12/19/2017,1
12/21/2017,1
12/31/2017,1
01/01/2018,1
01/03/2018,1
01/04/2018,1
01/07/2018,1
01/13/2018,1
01/23/2018,1
02/04/2018,2
02/07/2018,1
02/20/2018,1
02/24/2018,1
02/25/2018,3
02/27/2018,1
03/08/2018,2
03/09/2018,1
03/22/2018,1
03/24/2018,2
03/26/2018,1
04/04/2018,1
04/13/2018,1
04/14/2018,1
04/19/2018,2
04/27/2018,1
05/04/2018,1
05/11/2018,1
05/12/2018,2
05/23/2018,1
05/25/2018,1
05/26/2018,2
05/28/2018,1
06/16/2018,1
06/22/2018,2
06/24/2018,1
06/29/2018,1
07/02/2018,1
07/03/2018,1
07/06/2018,1
07/11/2018,1
07/15/2018,1
07/18/2018,1
07/21/2018,1
07/25/2018,1
07/27/2018,1
08/02/2018,1
08/10/2018,1
08/18/2018,1
08/22/2018,1
08/23/2018,1
08/28/2018,1
09/09/2018,1
09/14/2018,2
09/19/2018,2
09/21/2018,1
09/22/2018,1
09/29/2018,1
10/03/2018,1
10/11/2018,1
10/14/2018,2
10/18/2018,1
10/21/2018,1
10/24/2018,1
10/26/2018,4
11/01/2018,1
11/03/2018,1
11/10/2018,1
11/12/2018,4
11/18/2018,1
11/19/2018,1
12/02/2018,1
12/04/2018,1
12/09/2018,1
12/20/2018,1
12/21/2018,2
12/22/2018,1
